zhongguo-meishu-jianshi | 中国美术简史 | survey
zhongguo-taoci-shi | 中国陶瓷史 | survey
ma-chengyuan-zhongguo-qingtongqi | 中国青铜器 | survey
wu-hung-double-screen | The Double Screen: Medium and Representation in Chinese Painting | survey
scaglia-aesthetics-internationalism | The Aesthetics of Internationalism: Culture and Politics on Display at the 1935–1936 International Exhibition of Chinese Art | survey
huang-there-and-back | There and Back Again: Material Objects at the First International Exhibitions of Chinese Art in Shanghai, London, and Nanjing, 1935–1936 | survey
yiyan-wang-modern-art-modern-china | Modern Art for a Modern China | survey
clunas-lrb-china-2005 | 评「盛世华章：康雍乾三代」展（London Review of Books） | survey
suzhou-museum | 苏州博物馆 | primary
nelson-atkins | The Nelson-Atkins Museum of Art（纳尔逊-艾金斯艺术博物馆） | primary
osaka-museum-fine-arts | 大阪市立美術館 | primary
tnm-tokyo | 東京国立博物館（ColBase） | primary
artic | Art Institute of Chicago（芝加哥艺术博物馆） | primary
chen-mengjia-yinzhou-tonqi | 美帝国主义劫掠的我国殷周铜器集录（日文版作《殷周青銅器分類圖録》） | primary
loehr-ritual-vessels | Ritual Vessels of Bronze Age China | survey
hubei-museum | 湖北省博物馆 | primary
sichuan-museum | 四川博物院 | primary
zaozhuang-museum | 枣庄市博物馆 | primary
tengzhou-museum | 滕州市博物馆 | primary
li-chi-tuanfang-altar | The Tuan Fang Altar Set Reexamined | survey
white-tombs-old-loyang | 洛阳故城古墓考（Tombs of Old Lo-yang） | survey
zhejiang-museum | 浙江省博物馆 | primary
liaoning-archaeology | 辽宁省文物考古研究院 | primary
kaogu-museum | 中国考古博物馆 | primary
dahecun-museum | 郑州市大河村遗址博物馆 | primary
wuwenhua-museum | 吴文化博物馆（苏州） | primary
tuhui-baojian-xubian | 图绘宝鉴续编 | primary
huashi-huiyao | 画史会要 | primary
ming-hualu | 明画录 | primary
guochao-huazhenglu | 国朝画征录 | primary
guochao-huashi | 国朝画识 | primary
wang-shixiang-xiushi-lu-jieshuo | 髹饰录解说 | survey
zhao-feng-zhongguo-sichou-tongshi | 中国丝绸通史 | survey
wang-shixiang-mingshi-jiaju | 明式家具研究 | monograph
quette-cloisonne-chinese-enamels | Cloisonné: Chinese Enamels from the Yuan, Ming, and Qing Dynasties | survey
yangboda-jinyin-boli-falang | 中国美术全集·工艺美术编 11·金银玻璃珐琅器 | survey
kongxiangxing-liuyiman-tongjing | 中国古代铜镜 | survey
rose-kerr-later-chinese-bronzes | Later Chinese Bronzes | survey
huajueming-zhongguo-gudai-jinshu-jishu | 中国古代金属技术：铜和铁造就的文明 | survey
liao-chenguo-gongzhu-mu-baogao | 辽陈国公主墓 | primary
xuanhua-liaomu-baogao | 宣化辽墓：1974—1993 年考古发掘报告集 | primary
baisha-songmu-baogao | 白沙宋墓 | primary
rom-royal-ontario-museum | Royal Ontario Museum（加拿大安大略皇家博物馆） | museum
yinxu-fuhaomu-baogao | 殷墟妇好墓 | primary
sanxingdui-jisikeng-baogao | 三星堆祭祀坑 | primary
taosi-yizhi-baogao | 陶寺遗址发掘报告（历年简报与阶段性报告，具体书名与卷次待核） | primary
kizil-shiku-baogao | 中国石窟·克孜尔石窟 | report
binglingsi-baogao | 中国石窟·炳灵寺石窟 | report
fangshan-shijing-zhengli | 房山石经（整理出版物，具体书名与编者本次未核实，暂以类别指认） | report
fahaisi-bihua-yanjiu | 法海寺壁画研究（具体书名与作者本次未核实，暂以类别指认） | monograph
pilusi-bihua-zhulu | 毗卢寺壁画著录（河北省文物部门或相关图录，具体书名本次未核实） | report
gongzhusi-bihua-baodao | 繁峙公主寺水陆壁画相关报道与著录（具体出处本次未核实） | report
qinshihuang-di-ling-bowuyuan | 秦始皇帝陵博物院 | museum
famensi-digong-fajue-jianbao | 扶风法门寺塔唐代地宫发掘简报 | primary
hejiacun-jiaocang-fajue-jianbao | 西安南郊何家村唐代金银器窖藏发掘简报 | primary
hebei-museum | 河北博物院 | museum
pingshan-zhongshanwang-mu-baogao | 厝墓——战国中山国国王之墓 | primary
suizhou-museum | 随州市博物馆 | museum
yejiashan-mudi-baogao | 随州叶家山——西周早期曾国墓地 | primary
jingzhou-museum | 荆州博物馆 | museum
gaishanlin-yinshan-yanhua | 阴山岩画 | survey
dong-zuobin-jiaguwen-duandai | 甲骨文断代研究例 | primary
wang-guowei-yinbuci-zhong-suojian-xiangong-xianwang-kao | 殷卜辞中所见先公先王考 | primary
xu-hong-zuizao-de-zhongguo | 最早的中国：二里头文明的崛起 | monograph
zou-heng-zhengzhou-shangcheng-bo-du | 论郑州商城即汤都亳 | monograph
he-nu-taosi-guanxiangtai-yaodu | 陶寺观象台与『尧都平阳』相关研究（具体篇目待核） | monograph
yu-xingwu-dawenkou-taoqi-fuhao | 大汶口陶器刻划符号释读相关研究（具体篇目待核） | monograph
yinxu-museum | 殷墟博物馆（殷墟博物苑／殷墟博物馆新馆） | museum
zhouyuan-museum | 周原博物院（周原遗址博物馆） | museum
sanxingdui-museum | 三星堆博物馆 | museum
erlitou-site-museum | 二里头夏都遗址博物馆 | museum
kaogutu | 考古图 | primary
jigulu | 集古录 | primary
yingzao-fashi | 营造法式 | primary
dongtian-qinglu-ji | 洞天清禄集 | primary
xuhua | 叙画 | primary
liaoning-museum | 辽宁省博物馆 | museum
erlitou-gongzuodui-jianbao | 二里头遗址历年发掘简报（乳钉纹铜爵相关） | report
laing-selling-happiness | Selling Happiness: Calendar Posters and Visual Culture in Early-Twentieth-Century Shanghai | survey
changwuzhi | 长物志 | primary
gegu-yaolun | 格古要论 | primary
lubanjing | 鲁班经 | primary
xiqing-gujian | 西清古鉴 | primary
zaoxiang-liangdu-jing | 造像量度经 | primary
cass-feiyi-mingjing-lunwen | 非衣乎？铭旌乎？——论马王堆汉墓 T 形帛画的名称、功用与主题 | article
hnmuseum-t-bohua-page | 马王堆一号汉墓 T 形帛画（湖南博物院官网文物介绍页） | museum
hnmuseum-renwu-yulong-page | 战国人物御龙帛画（湖南博物院官网文物介绍页） | museum
ruzhou-gov-guanyu-shifu-page | 鹳鱼石斧图彩陶缸（汝州市人民政府官网文物介绍页） | web
yunwen-qi-an-identification-note | 【核实缺口，非正式信源】『云纹漆案』具体所指器物待厘清 | note
shizhuzhai-shuhua-pu | 十竹斋书画谱 | primary
xuande-dingyi-pu | 宣德鼎彝谱 | primary
luoyang-qielan-ji | 洛阳伽蓝记 | primary
taoye-tushuo | 陶冶图说 | primary
taocheng-jishi-bei | 陶成纪事碑 | primary
